iter	Passed	Remaining
484	1938	2058
485	1943	2055
486	1947	2051
487	1951	2046
488	1954	2042
489	1959	2039
490	1963	2035
491	1966	2030
492	1970	2026
493	1974	2022
494	1979	2019
495	1982	2014
496	1986	2010
497	1991	2007
498	1995	2003
499	1999	1999
500	2003	1995
501	2007	1991
502	2011	1987
503	2015	1983
504	2019	1979
505	2023	1975
506	2027	1971
507	2031	1967
508	2035	1963
509	2039	1959
510	2043	1955
511	2047	1951
512	2051	1947
513	2055	1943
514	2060	1940
515	2063	1935
516	2067	1931
517	2072	1928
518	2076	1924
519	2080	1920
520	2084	1916
521	2088	1912
522	2092	1908
523	2096	1904
524	2100	1900
525	2104	1896
526	2109	1892
527	2112	1888
528	2116	1884
529	2120	1880
530	2124	1876
531	2128	1872
532	2132	1868
533	2136	1864
534	2140	1860
535	2144	1856
536	2148	1852
537	2152	1848
538	2156	1844
539	2160	1840
540	2163	1835
541	2168	1832
542	2171	1827
543	2175	1823
544	2179	1819
545	2183	1815
546	2187	1811
547	2191	1807
548	2195	1803
549	2199	1799
550	2203	1795
551	2207	1791
552	2211	1787
553	2215	1783
554	2219	1779
555	2223	1775
556	2227	1771
557	2231	1767
558	2235	1763
559	2239	1759
560	2243	1755
561	2247	1751
562	2251	1747
563	2255	1743
564	2258	1739
565	2263	1735
566	2267	1731
567	2270	1727
568	2274	1722
569	2278	1719
570	2282	1715
571	2286	1710
572	2290	1706
573	2295	1703
574	2299	1699
575	2303	1695
576	2306	1690
577	2310	1687
578	2315	1683
579	2319	1679
580	2322	1675
581	2327	1671
582	2331	1667
583	2335	1663
584	2338	1659
585	2343	1655
586	2347	1651
587	2351	1647
588	2355	1643
589	2360	1640
590	2365	1637
591	2369	1632
592	2373	1628
593	2377	1624
594	2381	1620
595	2384	1616
596	2388	1612
597	2392	1608
598	2396	1604
599	2400	1600
600	2404	1596
601	2408	1592
602	2412	1588
603	2415	1583
604	2419	1579
605	2423	1575
606	2427	1571
607	2431	1567
608	2435	1563
609	2439	1559
610	2443	1555
611	2447	1551
612	2450	1547
613	2455	1543
614	2459	1539
615	2462	1535
616	2466	1531
617	2471	1527
618	2475	1523
619	2478	1519
620	2482	1515
621	2487	1511
622	2491	1507
623	2494	1503
624	2498	1499
625	2503	1495
626	2507	1491
627	2511	1487
628	2515	1483
629	2519	1479
630	2523	1475
631	2527	1471
632	2531	1467
633	2535	1463
634	2539	1459
635	2543	1455
636	2547	1451
637	2551	1447
638	2555	1443
639	2559	1439
640	2563	1435
641	2567	1431
642	2571	1427
643	2575	1423
644	2578	1419
645	2583	1415
646	2587	1411
647	2590	1407
648	2594	1403
649	2599	1399
650	2603	1395
651	2607	1391
652	2612	1388
653	2616	1384
654	2620	1380
655	2623	1375
656	2627	1371
657	2632	1368
658	2636	1364
659	2639	1359
660	2643	1355
661	2647	1351
662	2651	1347
663	2655	1343
664	2659	1339
665	2663	1335
666	2668	1332
667	2671	1327
668	2675	1323
669	2679	1319
670	2683	1315
671	2687	1311
672	2690	1307
673	2695	1303
674	2699	1299
675	2703	1295
676	2707	1291
677	2711	1287
678	2715	1283
679	2719	1279
680	2722	1275
681	2727	1271
682	2731	1267
683	2734	1263
684	2738	1259
685	2742	1255
686	2746	1251
687	2750	1247
688	2753	1243
689	2757	1239
690	2761	1235
691	2765	1230
692	2769	1226
693	2773	1222
694	2777	1218
695	2780	1214
696	2784	1210
697	2788	1206
698	2793	1202
699	2797	1198
700	2801	1194
701	2805	1190
702	2809	1186
703	2813	1182
704	2817	1178
705	2821	1175
706	2826	1171
707	2829	1167
708	2833	1163
709	2837	1159
710	2842	1155
711	2846	1151
712	2850	1147
713	2854	1143
714	2859	1139
715	2862	1135
716	2866	1131
717	2871	1127
718	2875	1123
719	2879	1119
720	2884	1116
721	2888	1112
722	2892	1108
723	2896	1104
724	2900	1100
725	2904	1096
726	2909	1092
727	2913	1088
728	2917	1084
729	2921	1080
730	2926	1076
731	2930	1072
732	2935	1069
733	2939	1065
734	2943	1061
735	2947	1057
736	2951	1053
737	2955	1049
738	2959	1045
739	2963	1041
740	2967	1037
741	2971	1033
742	2975	1029
743	2978	1024
744	2983	1021
745	2987	1017
746	2991	1013
747	2994	1008
748	2999	1005
749	3003	1001
750	3007	997
751	3011	993
752	3015	989
753	3019	985
754	3023	980
755	3026	976
756	3030	972
757	3035	968
758	3039	964
759	3042	960
760	3047	956
761	3051	952
762	3055	948
763	3058	944
764	3063	940
765	3067	937
766	3071	932
767	3075	928
768	3078	924
769	3083	920
770	3087	916
771	3090	912
772	3095	909
773	3099	905
774	3103	900
775	3107	896
776	3111	893
777	3116	889
778	3120	885
779	3124	881
780	3128	877
781	3132	873
782	3136	869
783	3139	865
784	3144	861
785	3148	857
786	3152	853
787	3155	848
788	3160	845
789	3164	841
790	3168	837
791	3171	832
792	3176	829
793	3179	825
794	3183	820
795	3187	816
796	3192	813
797	3196	809
798	3200	805
799	3204	801
800	3208	797
801	3212	793
802	3216	789
803	3220	785
804	3224	781
805	3228	777
806	3232	772
807	3235	768
808	3240	765
809	3244	761
810	3248	757
811	3252	752
812	3256	748
813	3260	744
814	3263	740
815	3267	736
816	3272	732
817	3276	728
818	3279	724
819	3283	720
820	3287	716
821	3292	712
822	3296	708
823	3299	704
824	3304	700
825	3308	696
826	3312	692
827	3316	688
828	3320	684
829	3324	680
830	3328	676
831	3332	672
832	3336	668
833	3341	665
834	3345	661
835	3349	656
836	3353	653
837	3357	649
838	3361	644
839	3364	640
840	3368	636
841	3372	632
842	3376	628
843	3380	624
844	3384	620
845	3388	616
846	3391	612
847	3395	608
848	3400	604
849	3403	600
850	3407	596
851	3411	592
852	3415	588
853	3419	584
854	3423	580
855	3426	576
856	3431	572
857	3435	568
858	3439	564
859	3442	560
860	3447	556
861	3451	552
862	3455	548
863	3459	544
864	3463	540
865	3467	536
866	3471	532
867	3474	528
868	3479	524
869	3483	520
870	3487	516
871	3491	512
872	3495	508
873	3500	504
874	3503	500
875	3507	496
876	3511	492
877	3515	488
878	3519	484
879	3523	480
880	3527	476
881	3531	472
882	3535	468
883	3539	464
884	3543	460
885	3547	456
886	3551	452
887	3555	448
888	3559	444
889	3563	440
890	3567	436
891	3570	432
892	3575	428
893	3579	424
894	3583	420
895	3586	416
896	3591	412
897	3595	408
898	3598	404
899	3602	400
900	3607	396
901	3610	392
902	3614	388
903	3618	384
904	3623	380
905	3628	376
906	3632	372
907	3636	368
908	3640	364
909	3644	360
910	3648	356
911	3652	352
912	3656	348
913	3660	344
914	3664	340
915	3668	336
916	3672	332
917	3676	328
918	3680	324
919	3683	320
920	3688	316
921	3691	312
922	3695	308
923	3699	304
924	3703	300
925	3707	296
926	3711	292
927	3715	288
928	3719	284
929	3723	280
930	3727	276
931	3731	272
932	3735	268
933	3739	264
934	3743	260
935	3746	256
936	3751	252
937	3755	248
938	3759	244
939	3762	240
940	3767	236
941	3771	232
942	3775	228
943	3778	224
944	3783	220
945	3787	216
946	3791	212
947	3795	208
948	3799	204
949	3803	200
950	3807	196
951	3811	192
952	3815	188
953	3819	184
954	3823	180
955	3827	176
956	3831	172
957	3835	168
958	3839	164
959	3843	160
960	3847	156
961	3851	152
962	3855	148
963	3858	144
964	3863	140
965	3867	136
966	3871	132
967	3874	128
968	3878	124
969	3882	120
970	3886	116
971	3890	112
972	3894	108
973	3898	104
974	3902	100
975	3906	96
976	3910	92
977	3915	88
978	3919	84
979	3923	80
980	3927	76
981	3931	72
982	3935	68
983	3939	64
984	3943	60
985	3947	56
986	3951	52
987	3955	48
988	3959	44
989	3963	40
990	3967	36
991	3971	32
992	3975	28
993	3979	24
994	3983	20
995	3987	16
996	3991	12
997	3995	8
998	3999	4
999	4002	0
